0	--	--	0.1	--	--	0.2	--	--	0.3	--	--	0.4	--	--	0.5	--	--	Slicl	--	--
2.5E-7	1.00013	0.99961	2.5E-7	1.00013	0.9996	2.5E-7	1.00014	0.99959	2.5E-7	1.00015	0.99956	2.5E-7	1.00016	0.99952	2.5E-7	1.00019	0.99944	2.5E-7	1.00012	0.99963	
2.55E-7	1.00013	0.99961	2.55E-7	1.00013	0.9996	2.55E-7	1.00014	0.99958	2.55E-7	1.00015	0.99956	2.55E-7	1.00016	0.99951	2.55E-7	1.00019	0.99943	2.55E-7	1.00013	0.99962	
2.6E-7	1.00013	0.99961	2.6E-7	1.00013	0.9996	2.6E-7	1.00014	0.99958	2.6E-7	1.00015	0.99955	2.6E-7	1.00016	0.99951	2.6E-7	1.00019	0.99943	2.6E-7	1.00013	0.99962	
2.66E-7	1.00013	0.9996	2.66E-7	1.00014	0.99959	2.66E-7	1.00014	0.99958	2.66E-7	1.00015	0.99955	2.66E-7	1.00017	0.9995	2.66E-7	1.00019	0.99942	2.66E-7	1.00013	0.99962	
2.71E-7	1.00013	0.9996	2.71E-7	1.00014	0.99959	2.71E-7	1.00014	0.99957	2.71E-7	1.00015	0.99954	2.71E-7	1.00017	0.9995	2.71E-7	1.0002	0.99941	2.71E-7	1.00013	0.99961	
2.77E-7	1.00014	0.99959	2.77E-7	1.00014	0.99958	2.77E-7	1.00014	0.99957	2.77E-7	1.00015	0.99954	2.77E-7	1.00017	0.99949	2.77E-7	1.0002	0.99941	2.77E-7	1.00013	0.99961	
2.83E-7	1.00014	0.99959	2.83E-7	1.00014	0.99958	2.83E-7	1.00015	0.99956	2.83E-7	1.00016	0.99953	2.83E-7	1.00017	0.99949	2.83E-7	1.0002	0.9994	2.83E-7	1.00013	0.9996	
2.89E-7	1.00014	0.99959	2.89E-7	1.00014	0.99958	2.89E-7	1.00015	0.99956	2.89E-7	1.00016	0.99953	2.89E-7	1.00017	0.99948	2.89E-7	1.0002	0.99939	2.89E-7	1.00013	0.9996	
2.95E-7	1.00014	0.99958	2.95E-7	1.00014	0.99957	2.95E-7	1.00015	0.99955	2.95E-7	1.00016	0.99952	2.95E-7	1.00018	0.99947	2.95E-7	1.0002	0.99939	2.95E-7	1.00013	0.9996	
3.02E-7	1.00014	0.99958	3.02E-7	1.00014	0.99957	3.02E-7	1.00015	0.99955	3.02E-7	1.00016	0.99952	3.02E-7	1.00018	0.99947	3.02E-7	1.00021	0.99938	3.02E-7	1.00014	0.99959	
3.09E-7	1.00014	0.99957	3.09E-7	1.00015	0.99956	3.09E-7	1.00015	0.99954	3.09E-7	1.00016	0.99951	3.09E-7	1.00018	0.99946	3.09E-7	1.00021	0.99937	3.09E-7	1.00014	0.99959	
3.16E-7	1.00014	0.99957	3.16E-7	1.00015	0.99956	3.16E-7	1.00015	0.99954	3.16E-7	1.00016	0.99951	3.16E-7	1.00018	0.99946	3.15E-7	1.00021	0.99937	3.16E-7	1.00014	0.99958	
3.23E-7	1.00015	0.99956	3.23E-7	1.00015	0.99955	3.23E-7	1.00016	0.99953	3.23E-7	1.00017	0.9995	3.23E-7	1.00018	0.99945	3.23E-7	1.00021	0.99936	3.23E-7	1.00014	0.99958	
3.3E-7	1.00015	0.99956	3.3E-7	1.00015	0.99955	3.3E-7	1.00016	0.99953	3.3E-7	1.00017	0.9995	3.3E-7	1.00019	0.99944	3.3E-7	1.00022	0.99935	3.3E-7	1.00014	0.99957	
3.38E-7	1.00015	0.99955	3.38E-7	1.00015	0.99954	3.38E-7	1.00016	0.99952	3.38E-7	1.00017	0.99949	3.38E-7	1.00019	0.99944	3.38E-7	1.00022	0.99934	3.38E-7	1.00014	0.99957	
3.46E-7	1.00015	0.99955	3.46E-7	1.00016	0.99954	3.46E-7	1.00016	0.99952	3.46E-7	1.00017	0.99948	3.46E-7	1.00019	0.99943	3.46E-7	1.00022	0.99934	3.46E-7	1.00015	0.99956	
3.54E-7	1.00015	0.99954	3.54E-7	1.00016	0.99953	3.54E-7	1.00016	0.99951	3.54E-7	1.00017	0.99948	3.54E-7	1.00019	0.99942	3.54E-7	1.00022	0.99933	3.54E-7	1.00015	0.99956	
3.63E-7	1.00015	0.99954	3.63E-7	1.00016	0.99952	3.63E-7	1.00017	0.9995	3.63E-7	1.00018	0.99947	3.63E-7	1.00019	0.99942	3.63E-7	1.00023	0.99932	3.63E-7	1.00015	0.99955	
3.72E-7	1.00016	0.99953	3.72E-7	1.00016	0.99952	3.72E-7	1.00017	0.9995	3.72E-7	1.00018	0.99947	3.72E-7	1.0002	0.99941	3.72E-7	1.00023	0.99931	3.72E-7	1.00015	0.99955	
3.81E-7	1.00016	0.99952	3.81E-7	1.00016	0.99951	3.81E-7	1.00017	0.99949	3.81E-7	1.00018	0.99946	3.81E-7	1.0002	0.9994	3.81E-7	1.00023	0.9993	3.81E-7	1.00015	0.99954	
3.9E-7	1.00016	0.99952	3.9E-7	1.00016	0.99951	3.9E-7	1.00017	0.99949	3.9E-7	1.00018	0.99945	3.9E-7	1.0002	0.9994	3.9E-7	1.00023	0.9993	3.91E-7	1.00015	0.99954	
4E-7	1.00016	0.99951	4E-7	1.00017	0.9995	4E-7	1.00017	0.99948	4E-7	1.00019	0.99945	4E-7	1.0002	0.99939	4E-7	1.00024	0.99929	4E-7	1.00016	0.99953	
4.11E-7	1.00016	0.99951	4.11E-7	1.00017	0.99949	4.11E-7	1.00018	0.99947	4.11E-7	1.00019	0.99944	4.11E-7	1.00021	0.99938	4.11E-7	1.00024	0.99928	4.11E-7	1.00016	0.99952	
4.22E-7	1.00017	0.9995	4.22E-7	1.00017	0.99949	4.22E-7	1.00018	0.99947	4.21E-7	1.00019	0.99943	4.21E-7	1.00021	0.99937	4.21E-7	1.00024	0.99927	4.22E-7	1.00016	0.99952	
4.33E-7	1.00017	0.99949	4.33E-7	1.00017	0.99948	4.33E-7	1.00018	0.99946	4.33E-7	1.00019	0.99942	4.33E-7	1.00021	0.99936	4.33E-7	1.00025	0.99926	4.33E-7	1.00016	0.99951	
4.44E-7	1.00017	0.99949	4.44E-7	1.00018	0.99947	4.44E-7	1.00018	0.99945	4.44E-7	1.00019	0.99942	4.44E-7	1.00021	0.99936	4.44E-7	1.00025	0.99925	4.44E-7	1.00017	0.9995	
4.56E-7	1.00017	0.99948	4.56E-7	1.00018	0.99947	4.56E-7	1.00019	0.99944	4.56E-7	1.0002	0.99941	4.56E-7	1.00022	0.99935	4.56E-7	1.00025	0.99924	4.56E-7	1.00017	0.9995	
4.69E-7	1.00018	0.99947	4.69E-7	1.00018	0.99946	4.69E-7	1.00019	0.99944	4.69E-7	1.0002	0.9994	4.69E-7	1.00022	0.99934	4.69E-7	1.00026	0.99923	4.69E-7	1.00017	0.99949	
4.82E-7	1.00018	0.99946	4.82E-7	1.00018	0.99945	4.82E-7	1.00019	0.99943	4.82E-7	1.0002	0.99939	4.82E-7	1.00022	0.99933	4.82E-7	1.00026	0.99922	4.82E-7	1.00017	0.99948	
4.96E-7	1.00018	0.99946	4.96E-7	1.00019	0.99944	4.96E-7	1.00019	0.99942	4.96E-7	1.00021	0.99938	4.96E-7	1.00023	0.99932	4.96E-7	1.00026	0.99921	4.96E-7	1.00017	0.99948	
5.1E-7	1.00018	0.99945	5.1E-7	1.00019	0.99944	5.1E-7	1.0002	0.99941	5.1E-7	1.00021	0.99937	5.1E-7	1.00023	0.99931	5.1E-7	1.00027	0.9992	5.1E-7	1.00018	0.99947	
5.25E-7	1.00019	0.99944	5.25E-7	1.00019	0.99943	5.25E-7	1.0002	0.9994	5.25E-7	1.00021	0.99936	5.25E-7	1.00023	0.9993	5.25E-7	1.00027	0.99918	5.25E-7	1.00018	0.99946	
5.4E-7	1.00019	0.99943	5.4E-7	1.00019	0.99942	5.4E-7	1.0002	0.9994	5.4E-7	1.00021	0.99936	5.4E-7	1.00024	0.99929	5.4E-7	1.00028	0.99917	5.4E-7	1.00018	0.99945	
5.57E-7	1.00019	0.99942	5.57E-7	1.0002	0.99941	5.57E-7	1.0002	0.99939	5.57E-7	1.00022	0.99935	5.57E-7	1.00024	0.99928	5.57E-7	1.00028	0.99916	5.57E-7	1.00018	0.99945	
5.74E-7	1.00019	0.99942	5.74E-7	1.0002	0.9994	5.74E-7	1.00021	0.99938	5.74E-7	1.00022	0.99934	5.74E-7	1.00024	0.99927	5.74E-7	1.00028	0.99915	5.74E-7	1.00019	0.99944	
5.91E-7	1.0002	0.99941	5.91E-7	1.0002	0.99939	5.91E-7	1.00021	0.99937	5.91E-7	1.00022	0.99933	5.91E-7	1.00025	0.99926	5.91E-7	1.00029	0.99913	5.91E-7	1.00019	0.99943	
6.1E-7	1.0002	0.9994	6.1E-7	1.00021	0.99938	6.1E-7	1.00021	0.99936	6.1E-7	1.00023	0.99932	6.1E-7	1.00025	0.99924	6.1E-7	1.00029	0.99912	6.1E-7	1.00019	0.99942	
6.3E-7	1.0002	0.99939	6.3E-7	1.00021	0.99937	6.3E-7	1.00022	0.99935	6.3E-7	1.00023	0.9993	6.3E-7	1.00026	0.99923	6.3E-7	1.0003	0.99911	6.3E-7	1.0002	0.99941	
6.5E-7	1.00021	0.99938	6.5E-7	1.00021	0.99936	6.5E-7	1.00022	0.99934	6.5E-7	1.00024	0.99929	6.5E-7	1.00026	0.99922	6.5E-7	1.0003	0.99909	6.5E-7	1.0002	0.9994	
6.72E-7	1.00021	0.99937	6.72E-7	1.00022	0.99935	6.72E-7	1.00022	0.99933	6.72E-7	1.00024	0.99928	6.72E-7	1.00026	0.99921	6.71E-7	1.00031	0.99908	6.72E-7	1.0002	0.99939	
6.94E-7	1.00021	0.99936	6.94E-7	1.00022	0.99934	6.94E-7	1.00023	0.99931	6.94E-7	1.00024	0.99927	6.94E-7	1.00027	0.99919	6.94E-7	1.00031	0.99906	6.94E-7	1.00021	0.99938	
7.18E-7	1.00022	0.99935	7.18E-7	1.00022	0.99933	7.18E-7	1.00023	0.9993	7.18E-7	1.00025	0.99926	7.18E-7	1.00027	0.99918	7.18E-7	1.00032	0.99905	7.18E-7	1.00021	0.99937	
7.43E-7	1.00022	0.99934	7.43E-7	1.00023	0.99932	7.43E-7	1.00024	0.99929	7.43E-7	1.00025	0.99924	7.43E-7	1.00028	0.99917	7.43E-7	1.00032	0.99903	7.43E-7	1.00021	0.99936	
7.69E-7	1.00023	0.99932	7.69E-7	1.00023	0.99931	7.69E-7	1.00024	0.99928	7.69E-7	1.00026	0.99923	7.69E-7	1.00028	0.99915	7.69E-7	1.00033	0.99901	7.69E-7	1.00022	0.99935	
7.97E-7	1.00023	0.99931	7.97E-7	1.00024	0.99929	7.97E-7	1.00025	0.99927	7.97E-7	1.00026	0.99922	7.97E-7	1.00029	0.99914	7.97E-7	1.00034	0.99899	7.97E-7	1.00022	0.99934	
8.26E-7	1.00023	0.9993	8.26E-7	1.00024	0.99928	8.26E-7	1.00025	0.99925	8.26E-7	1.00027	0.9992	8.26E-7	1.00029	0.99912	8.26E-7	1.00034	0.99898	8.26E-7	1.00023	0.99932	
8.57E-7	1.00024	0.99929	8.57E-7	1.00024	0.99927	8.57E-7	1.00025	0.99924	8.57E-7	1.00027	0.99919	8.57E-7	1.0003	0.9991	8.57E-7	1.00035	0.99896	8.57E-7	1.00023	0.99931	
8.9E-7	1.00024	0.99927	8.9E-7	1.00025	0.99925	8.9E-7	1.00026	0.99922	8.9E-7	1.00028	0.99917	8.89E-7	1.0003	0.99909	8.89E-7	1.00035	0.99894	8.9E-7	1.00023	0.9993	
9.24E-7	1.00025	0.99926	9.24E-7	1.00025	0.99924	9.24E-7	1.00026	0.99921	9.24E-7	1.00028	0.99916	9.24E-7	1.00031	0.99907	9.24E-7	1.00036	0.99892	9.24E-7	1.00024	0.99929	
9.61E-7	1.00025	0.99924	9.61E-7	1.00026	0.99923	9.61E-7	1.00027	0.99919	9.61E-7	1.00029	0.99914	9.61E-7	1.00032	0.99905	9.6E-7	1.00037	0.9989	9.61E-7	1.00024	0.99927	
9.99E-7	1.00026	0.99923	9.99E-7	1.00026	0.99921	9.99E-7	1.00027	0.99918	9.99E-7	1.00029	0.99912	9.99E-7	1.00032	0.99903	9.99E-7	1.00038	0.99887	1E-6	1.00025	0.99926	
1.04E-6	1.00026	0.99921	1.04E-6	1.00027	0.99919	1.04E-6	1.00028	0.99916	1.04E-6	1.0003	0.99911	1.04E-6	1.00033	0.99901	1.04E-6	1.00038	0.99885	1.04E-6	1.00025	0.99924	
1.08E-6	1.00027	0.9992	1.08E-6	1.00027	0.99918	1.08E-6	1.00029	0.99914	1.08E-6	1.0003	0.99909	1.08E-6	1.00034	0.99899	1.08E-6	1.00039	0.99883	1.08E-6	1.00026	0.99923	
1.13E-6	1.00027	0.99918	1.13E-6	1.00028	0.99916	1.13E-6	1.00029	0.99912	1.13E-6	1.00031	0.99907	1.13E-6	1.00034	0.99897	1.13E-6	1.0004	0.9988	1.13E-6	1.00026	0.99921	
1.18E-6	1.00028	0.99916	1.18E-6	1.00029	0.99914	1.18E-6	1.0003	0.99911	1.18E-6	1.00032	0.99905	1.18E-6	1.00035	0.99895	1.18E-6	1.00041	0.99878	1.18E-6	1.00027	0.99919	
1.23E-6	1.00029	0.99914	1.23E-6	1.00029	0.99912	1.23E-6	1.0003	0.99909	1.23E-6	1.00032	0.99903	1.23E-6	1.00036	0.99893	1.23E-6	1.00042	0.99875	1.23E-6	1.00028	0.99917	
1.29E-6	1.00029	0.99912	1.29E-6	1.0003	0.9991	1.29E-6	1.00031	0.99907	1.29E-6	1.00033	0.999	1.29E-6	1.00037	0.9989	1.29E-6	1.00043	0.99872	1.29E-6	1.00028	0.99916	
1.35E-6	1.0003	0.9991	1.35E-6	1.00031	0.99908	1.35E-6	1.00032	0.99904	1.35E-6	1.00034	0.99898	1.35E-6	1.00038	0.99888	1.35E-6	1.00044	0.99869	1.35E-6	1.00029	0.99914	
1.42E-6	1.00031	0.99908	1.42E-6	1.00031	0.99906	1.42E-6	1.00033	0.99902	1.42E-6	1.00035	0.99896	1.42E-6	1.00038	0.99885	1.42E-6	1.00045	0.99866	1.42E-6	1.0003	0.99912	
1.49E-6	1.00031	0.99906	1.49E-6	1.00032	0.99904	1.49E-6	1.00033	0.999	1.49E-6	1.00036	0.99893	1.49E-6	1.00039	0.99882	1.49E-6	1.00046	0.99863	1.49E-6	1.0003	0.99909	
1.56E-6	1.00032	0.99904	1.56E-6	1.00033	0.99901	1.56E-6	1.00034	0.99897	1.56E-6	1.00037	0.9989	1.56E-6	1.0004	0.99879	1.56E-6	1.00047	0.99859	1.56E-6	1.00031	0.99907	
