K*Chen/K*Hertz																							K*Tu/K*Hertz
n = 0            		n = 0.1         		n = 0.2         		n = 0.3         		n = 0.4          		n = 0.5													
dR/h2      	K/KH       	dR/h2   	K/KH     	dR/h2    	K/KH    	dR/h2    	K/KH      	dR/h2     	K/KH     	dR/h2     	K/KH     	dR/h2     	K/KH										
2.55E-07	0.999480884	2.55E-07	0.999467823	2.55E-07	0.999445956	2.55E-07	0.999409833	2.55E-07	0.999349039	2.55E-07	0.999241224	2.55E-07	0.999624107										
2.60E-07	0.999475591	2.60E-07	0.999462398	2.60E-07	0.999440302	2.60E-07	0.999403788	2.60E-07	0.999342371	2.60E-07	0.999233455	2.60E-07	0.999620266										
2.66E-07	0.999470171	2.66E-07	0.999456835	2.66E-07	0.99943452	2.66E-07	0.999397648	2.66E-07	0.999335593	2.66E-07	0.999225553	2.66E-07	0.999616346										
2.71E-07	0.999464652	2.71E-07	0.999451179	2.71E-07	0.999428629	2.71E-07	0.999391372	2.71E-07	0.999328661	2.71E-07	0.999217495	2.71E-07	0.999612345										
2.77E-07	0.999459021	2.77E-07	0.999445403	2.77E-07	0.999422612	2.77E-07	0.999384964	2.77E-07	0.999321595	2.77E-07	0.999209238	2.77E-07	0.999608259										
2.83E-07	0.999453265	2.83E-07	0.999439502	2.83E-07	0.999416476	2.83E-07	0.999378423	2.83E-07	0.99931439	2.83E-07	0.999200855	2.83E-07	0.999604086										
2.89E-07	0.999447384	2.89E-07	0.99943348	2.89E-07	0.999410202	2.89E-07	0.999371742	2.89E-07	0.999307021	2.89E-07	0.999192282	2.89E-07	0.999599822										
2.95E-07	0.999441381	2.95E-07	0.999427323	2.95E-07	0.99940379	2.95E-07	0.999364924	2.95E-07	0.9992995	2.95E-07	0.999183497	2.95E-07	0.999595467										
3.02E-07	0.999435249	3.02E-07	0.999421037	3.02E-07	0.999397247	3.02E-07	0.999357943	3.02E-07	0.999291804	3.02E-07	0.999174531	3.02E-07	0.999591015										
3.09E-07	0.999428976	3.09E-07	0.999414604	3.09E-07	0.999390554	3.09E-07	0.999350803	3.09E-07	0.999283928	3.09E-07	0.999165334	3.09E-07	0.999586465										
3.16E-07	0.999422557	3.16E-07	0.999408023	3.16E-07	0.999383701	3.16E-07	0.999343508	3.16E-07	0.999275881	3.15E-07	0.999155956	3.16E-07	0.999581812										
3.23E-07	0.999415995	3.23E-07	0.999401297	3.23E-07	0.999376696	3.23E-07	0.999336048	3.23E-07	0.999267658	3.23E-07	0.999146389	3.23E-07	0.999577052										
3.30E-07	0.999409284	3.30E-07	0.999394414	3.30E-07	0.999369537	3.30E-07	0.99932842	3.30E-07	0.999259245	3.30E-07	0.99913658	3.30E-07	0.999572183										
3.38E-07	0.999402417	3.38E-07	0.999387374	3.38E-07	0.999362205	3.38E-07	0.999320614	3.38E-07	0.999250629	3.38E-07	0.999126544	3.38E-07	0.9995672
3.46E-07	0.999395388	3.46E-07	0.999380164	3.46E-07	0.999354701	3.46E-07	0.999312624	3.46E-07	0.999241813	3.46E-07	0.999116271	3.46E-07	0.999562101
3.54E-07	0.999388191	3.54E-07	0.999372786	3.54E-07	0.999347023	3.54E-07	0.999304443	3.54E-07	0.999232794	3.54E-07	0.999105762	3.54E-07	0.999556881
3.63E-07	0.999380817	3.63E-07	0.999365235	3.63E-07	0.999339157	3.63E-07	0.999296065	3.63E-07	0.999223553	3.63E-07	0.999094991	3.63E-07	0.999551534
3.72E-07	0.999373269	3.72E-07	0.999357497	3.72E-07	0.999331098	3.72E-07	0.99928748	3.72E-07	0.999214081	3.72E-07	0.999083946	3.72E-07	0.999546056
3.81E-07	0.999365537	3.81E-07	0.999349563	3.81E-07	0.999322842	3.81E-07	0.99927869	3.81E-07	0.999204374	3.81E-07	0.999072639	3.81E-07	0.999540443
3.90E-07	0.999357606	3.90E-07	0.999341433	3.90E-07	0.999314379	3.90E-07	0.999269678	3.90E-07	0.999194432	3.90E-07	0.99906105	3.91E-07	0.99953469
4.00E-07	0.999349474	4.00E-07	0.9993331	4.00E-07	0.999305703	4.00E-07	0.999260429	4.00E-07	0.999184245	4.00E-07	0.999049169	4.00E-07	0.999528791
4.11E-07	0.999341139	4.11E-07	0.999324552	4.11E-07	0.999296806	4.11E-07	0.999250948	4.11E-07	0.999173788	4.11E-07	0.99903697	4.11E-07	0.999522739
4.22E-07	0.999332586	4.22E-07	0.999315785	4.22E-07	0.999287672	4.21E-07	0.999241224	4.21E-07	0.999163057	4.21E-07	0.999024462	4.22E-07	0.999516531
4.33E-07	0.9993238	4.33E-07	0.999306782	4.33E-07	0.999278301	4.33E-07	0.999231243	4.33E-07	0.999152047	4.33E-07	0.999011642	4.33E-07	0.999510158
4.44E-07	0.999314785	4.44E-07	0.999297541	4.44E-07	0.999268682	4.44E-07	0.999220992	4.44E-07	0.999140744	4.44E-07	0.998998469	4.44E-07	0.999503616
4.56E-07	0.999305529	4.56E-07	0.999288051	4.56E-07	0.999258801	4.56E-07	0.999210472	4.56E-07	0.999129138	4.56E-07	0.998984941	4.56E-07	0.999496896
4.69E-07	0.999296018	4.69E-07	0.999278299	4.69E-07	0.999248649	4.69E-07	0.999199661	4.69E-07	0.999117212	4.69E-07	0.998971045	4.69E-07	0.999489993
4.82E-07	0.999286242	4.82E-07	0.999268281	4.82E-07	0.999238218	4.82E-07	0.999188546	4.82E-07	0.999104954	4.82E-07	0.998956756	4.82E-07	0.999482898
4.96E-07	0.999276193	4.96E-07	0.999257976	4.96E-07	0.999227491	4.96E-07	0.999177123	4.96E-07	0.999092349	4.96E-07	0.998942064	4.96E-07	0.999475601
5.10E-07	0.999265855	5.10E-07	0.999247379	5.10E-07	0.999216453	5.10E-07	0.999165368	5.10E-07	0.999079387	5.10E-07	0.998926952	5.10E-07	0.999468096
5.25E-07	0.999255218	5.25E-07	0.999236473	5.25E-07	0.999205097	5.25E-07	0.999153271	5.25E-07	0.999066047	5.25E-07	0.998911398	5.25E-07	0.999460374
5.40E-07	0.999244271	5.40E-07	0.999225246	5.40E-07	0.999193412	5.40E-07	0.999140824	5.40E-07	0.999052314	5.40E-07	0.998895395	5.40E-07	0.999452423
5.57E-07	0.999232992	5.57E-07	0.999213686	5.57E-07	0.999181378	5.57E-07	0.999128005	5.57E-07	0.999038173	5.57E-07	0.998878928	5.57E-07	0.999444234
5.74E-07	0.999221372	5.74E-07	0.999201774	5.74E-07	0.999168983	5.74E-07	0.999114801	5.74E-07	0.999023615	5.74E-07	0.998861949	5.74E-07	0.999435797
5.91E-07	0.999209404	5.91E-07	0.999189505	5.91E-07	0.999156207	5.91E-07	0.999101188	5.91E-07	0.999008601	5.91E-07	0.998844435	5.91E-07	0.999427099
6.10E-07	0.999197055	6.10E-07	0.999176848	6.10E-07	0.99914302	6.10E-07	0.999087143	6.10E-07	0.998993104	6.10E-07	0.998826386	6.10E-07	0.99941813
6.30E-07	0.999184308	6.30E-07	0.999163778	6.30E-07	0.999129416	6.30E-07	0.999072658	6.30E-07	0.998977125	6.30E-07	0.998807761	6.30E-07	0.999408874
6.50E-07	0.999171153	6.50E-07	0.999150292	6.50E-07	0.999115379	6.50E-07	0.999057702	6.50E-07	0.998960634	6.50E-07	0.998788538	6.50E-07	0.999399321
6.72E-07	0.999157569	6.72E-07	0.999136364	6.72E-07	0.999100886	6.72E-07	0.999042258	6.72E-07	0.9989436	6.71E-07	0.998768682	6.72E-07	0.999389454
6.94E-07	0.999143533	6.94E-07	0.999121974	6.94E-07	0.999085904	6.94E-07	0.9990263	6.94E-07	0.998926003	6.94E-07	0.99874817	6.94E-07	0.999379257
7.18E-07	0.999129021	7.18E-07	0.999107097	7.18E-07	0.999070415	7.18E-07	0.999009802	7.18E-07	0.998907805	7.18E-07	0.998726957	7.18E-07	0.999368713
7.43E-07	0.999114008	7.43E-07	0.999091707	7.43E-07	0.999054392	7.43E-07	0.998992734	7.43E-07	0.998888973	7.43E-07	0.998705011	7.43E-07	0.999357804
7.69E-07	0.999098467	7.69E-07	0.999075775	7.69E-07	0.999037804	7.69E-07	0.998975062	7.69E-07	0.998869487	7.69E-07	0.998682298	7.69E-07	0.999346512
7.97E-07	0.999082372	7.97E-07	0.999059274	7.97E-07	0.999020624	7.97E-07	0.99895676	7.97E-07	0.998849329	7.97E-07	0.998658811	7.97E-07	0.999334816
8.26E-07	0.999065709	8.26E-07	0.999042196	8.26E-07	0.999002844	8.26E-07	0.998937825	8.26E-07	0.998828422	8.26E-07	0.998634445	8.26E-07	0.999322694
8.57E-07	0.999048419	8.57E-07	0.99902447	8.57E-07	0.998984394	8.57E-07	0.998918172	8.57E-07	0.998806714	8.57E-07	0.998609154	8.57E-07	0.999310121
8.90E-07	0.999030456	8.90E-07	0.999006051	8.90E-07	0.99896522	8.90E-07	0.998897758	8.89E-07	0.998784223	8.89E-07	0.998582924	8.90E-07	0.999297073
9.24E-07	0.999011825	9.24E-07	0.998986953	9.24E-07	0.998945336	9.24E-07	0.998876572	9.24E-07	0.998760856	9.24E-07	0.998555669	9.24E-07	0.999283521
9.61E-07	0.998992466	9.61E-07	0.998967102	9.61E-07	0.998924668	9.61E-07	0.998854543	9.61E-07	0.998736555	9.60E-07	0.998527366	9.61E-07	0.999269438
9.99E-07	0.998972315	9.99E-07	0.998946444	9.99E-07	0.998903162	9.99E-07	0.998831645	9.99E-07	0.998711299	9.99E-07	0.998497934	1.00E-06	0.999254789
1.04E-06	0.998951345	1.04E-06	0.998924953	1.04E-06	0.998880786	1.04E-06	0.998807818	1.04E-06	0.998685018	1.04E-06	0.998467297	1.04E-06	0.99923954
1.08E-06	0.998929511	1.08E-06	0.998902569	1.08E-06	0.99885748	1.08E-06	0.998782992	1.08E-06	0.998657634	1.08E-06	0.998435382	1.08E-06	0.999223658
1.13E-06	0.998906745	1.13E-06	0.99887923	1.13E-06	0.998833183	1.13E-06	0.998757105	1.13E-06	0.998629078	1.13E-06	0.998402108	1.13E-06	0.999207096
1.18E-06	0.998882991	1.18E-06	0.998854874	1.18E-06	0.998807827	1.18E-06	0.998730098	1.18E-06	0.998599288	1.18E-06	0.998367388	1.18E-06	0.999189811
